first_lat;first_lng;second_lat;second_lng;shared brands
59.9133301;10.7389701;50.776351;6.083862;2
38.1112268;13.3524434;50.776351;6.083862;2
48.8588897;2.3200410217200766;50.776351;6.083862;1
52.4009309;13.0591397;50.776351;6.083862;1
44.608664;10.594796841892734;50.776351;6.083862;2
41.8933203;12.4829321;50.776351;6.083862;2
58.9699675;5.7318101;50.776351;6.083862;2
59.3251172;18.0710935;50.776351;6.083862;2
48.7784485;9.1800132;50.776351;6.083862;2
61.4980214;23.7603118;50.776351;6.083862;2
32.0852997;34.7818064;50.776351;6.083862;1
63.4304475;10.3952118;50.776351;6.083862;2
45.0677551;7.6824892;50.776351;6.083862;2
60.4517531;22.2670522;50.776351;6.083862;2
59.8586126;17.6387436;50.776351;6.083862;2
48.2083537;16.3725042;50.776351;6.083862;1
52.2319581;21.0067249;50.776351;6.083862;1
47.4991723;8.7291498;50.776351;6.083862;2
51.1089776;17.0326689;50.776351;6.083862;1
47.3744489;8.5410422;50.776351;6.083862;2
56.1496278;10.2134046;57.0462626;9.9215263;1
48.3668041;10.8986971;57.0462626;9.9215263;1
47.5581077;7.5878261;57.0462626;9.9215263;1
60.3943055;5.3259192;57.0462626;9.9215263;1
52.5170365;13.3888599;57.0462626;9.9215263;1
46.9482713;7.4514512;57.0462626;9.9215263;1
50.735851;7.10066;57.0462626;9.9215263;1
44.841225;-0.5800364;57.0462626;9.9215263;1
53.0758196;8.8071646;57.0462626;9.9215263;1
50.8465573;4.351697;57.0462626;9.9215263;1
50.938361;6.959974;57.0462626;9.9215263;1
55.6867243;12.5700724;57.0462626;9.9215263;1
51.5142273;7.4652789;57.0462626;9.9215263;1
51.2254018;6.7763137;57.0462626;9.9215263;1
51.4582235;7.0158171;57.0462626;9.9215263;1
50.1106444;8.6820917;57.0462626;9.9215263;1
57.7072326;11.9670171;57.0462626;9.9215263;1
53.550341;10.000654;57.0462626;9.9215263;1
52.3744779;9.7385532;57.0462626;9.9215263;1
56.0442098;12.703706;57.0462626;9.9215263;1
60.1674881;24.9427473;57.0462626;9.9215263;1
49.0068705;8.4034195;57.0462626;9.9215263;1
51.3406321;12.3747329;57.0462626;9.9215263;1
59.9559239;11.0491122;57.0462626;9.9215263;1
58.4098135;15.6245252;57.0462626;9.9215263;1
55.7029296;13.1929449;57.0462626;9.9215263;1
40.4167047;-3.7035825;57.0462626;9.9215263;1
36.7213028;-4.4216366;57.0462626;9.9215263;1
45.4641943;9.1896346;57.0462626;9.9215263;1
44.5384728;10.935960870530739;57.0462626;9.9215263;1
48.1371079;11.5753822;57.0462626;9.9215263;1
50.4665284;4.8661892;57.0462626;9.9215263;1
49.453872;11.077298;57.0462626;9.9215263;1
55.3997225;10.3852104;57.0462626;9.9215263;1
59.2747287;15.2151181;57.0462626;9.9215263;1
59.9133301;10.7389701;57.0462626;9.9215263;1
38.1112268;13.3524434;57.0462626;9.9215263;1
44.608664;10.594796841892734;57.0462626;9.9215263;1
41.8933203;12.4829321;57.0462626;9.9215263;1
58.9699675;5.7318101;57.0462626;9.9215263;1
59.3251172;18.0710935;57.0462626;9.9215263;1
